team_a_name,team_b_name,team_a_pos,team_b_pos,team_a_ft_result,team_b_ft_result,team_a_ht_result,team_b_ht_result,team_a_won_perc,team_b_won_perc,team_a_lost_perc,team_b_lost_perc,team_a_draw_perc,team_b_draw_perc,team_a_avg_game_goals,team_b_avg_game_goals,team_a_avg_goals_scored,team_b_avg_goals_scored,team_a_avg_goals_conc,team_b_avg_goals_conc,team_a_clean_sheet,team_b_clean_sheet,team_a_failed_to_score,team_b_failed_to_score,team_a_o1_team,team_b_o1_team,team_a_o1_team_ag,team_b_o1_team_ag,team_a_btts,team_b_btts,team_a_btts_02,team_b_btts_02,team_a_o0,team_b_o0,team_a_o1,team_b_o1,team_a_02,team_b_02,team_a_o3,team_b_o3,team_a_o4,team_b_o4,team_a_avg_goals_fh,team_b_avg_goals_fh,team_a_avg_goals_fh_scored,team_b_avg_goals_fh_scored,team_a_avg_goals_fh_conc,team_b_avg_goals_fh_conc,team_a_cs_fh,team_b_cs_fh,team_a_fts_fh,team_b_fts_fh,team_a_btts_fh,team_b_btts_fh,team_a_o0_fh,team_b_o0_fh,team_a_o1_fh,team_b_o1_fh,team_a_avg_goals_sh,team_b_avg_goals_sh,team_a_avg_goals_sh_scored,team_b_avg_goals_sh_scored,team_a_avg_goals_sh_conc,team_b_avg_goals_sh_conc,team_a_cs_sh,team_b_cs_sh,team_a_fts_sh,team_b_fts_sh,team_a_btts_sh,team_b_btts_sh,team_a_o0_sh,team_b_o0_sh,team_a_o1_sh,team_b_o1_sh,team_a_avg_game_corners,team_b_avg_game_corners,team_a_o7_game_corners,team_b_o7_game_corners,team_a_o8_game_corners,team_b_o8_game_corners,team_a_o9_game_corners,team_b_o9_game_corners,team_a_o10_game_corners,team_b_o10_game_corners,team_a_avg_game_corners_fh,team_b_avg_game_corners_fh,team_a_o2_corners_fh,team_b_o2_corners_fh,team_a_o3_corners_fh,team_b_o3_corners_fh,team_a_o4_corners_fh,team_b_o4_corners_fh,team_a_avg_game_corners_sh,team_b_avg_game_corners_sh,team_a_o3_corners_sh,team_b_o3_corners_sh,team_a_o4_corners_sh,team_b_o4_corners_sh,team_a_o5_corners_sh,team_b_o5_corners_sh,team_a_avg_corners_for,team_b_avg_corners_for,team_a_avg_corners_ag,team_b_avg_corners_ag,team_a_o3_team_corners,team_b_o3_team_corners,team_a_o4_team_corners,team_b_o4_team_corners,team_a_o5_team_corners,team_b_o5_team_corners,team_a_o0_team_corners_fh,team_b_o0_team_corners_fh,team_a_o1_team_corners_fh,team_b_o1_team_corners_fh,team_a_o2_team_corners_fh,team_b_o2_team_corners_fh,team_a_o3_team_corners_fh,team_b_o3_team_corners_fh,team_a_o0_team_corners_sh,team_b_o0_team_corners_sh,team_a_o1_team_corners_sh,team_b_o1_team_corners_sh,team_a_o2_team_corners_sh,team_b_o2_team_corners_sh,team_a_o3_team_corners_sh,team_b_o3_team_corners_sh,team_a_corners_result,team_b_corners_result,team_a_corners_result_fh,team_b_corners_result_fh,team_a_corners_result_sh,team_b_corners_result_sh
Stuttgart,Augsburg,0.5555555555555556,0.7222222222222222,2,1,1,0,0.6,0.2,0.4,0.8,0.0,0.0,3.6,1.8,2.2,0.4,1.4,1.4,0.4,0.2,0.0,0.6,0.6,0.0,0.4,0.6,0.6,0.2,0.6,0.2,1.0,1.0,0.8,0.6,0.6,0.2,0.6,0.0,0.4,0.0,1.6,0.8,1.0,0.4,0.6,0.4,0.6,0.6,0.4,0.6,0.2,0.0,0.8,0.8,0.4,0.0,2.0,1.0,1.2,0.0,0.8,1.0,0.6,0.4,0.0,1.0,0.4,0.0,1.0,0.6,0.6,0.4,10.0,9.0,0.6,0.8,0.4,0.4,0.4,0.4,0.4,0.2,4.6,3.6,0.6,0.8,0.6,0.6,0.4,0.2,5.4,5.4,0.8,1.0,0.2,0.4,0.2,0.4,5.6,4.0,5.0,5.0,0.8,0.6,0.4,0.6,0.4,0.2,0.8,1.0,0.8,0.6,0.2,0.0,0.2,0.0,1.0,0.8,1.0,0.6,0.6,0.6,0.4,0.2,2,12,0,5,2,7
Real Sociedad,Elche,0.25,0.95,2,0,0,0,0.4,0.0,0.4,0.8,0.2,0.2,3.2,2.6,1.2,0.6,2.0,2.0,0.2,0.0,0.0,0.4,0.2,0.0,0.4,0.8,0.8,0.6,0.6,0.4,1.0,1.0,0.8,1.0,0.6,0.4,0.2,0.2,0.2,0.0,1.8,1.2,0.8,0.4,1.0,0.8,0.4,0.4,0.4,0.6,0.4,0.2,0.8,0.8,0.6,0.2,1.4,1.4,0.4,0.2,1.0,1.2,0.6,0.0,0.6,0.8,0.4,0.2,0.4,1.0,0.4,0.2,7.8,9.0,0.6,0.6,0.6,0.6,0.4,0.4,0.2,0.4,3.2,3.6,0.8,0.6,0.6,0.6,0.0,0.6,4.6,5.4,0.6,1.0,0.6,0.6,0.4,0.4,4.0,4.2,3.8,4.8,0.4,0.6,0.4,0.6,0.4,0.4,1.0,0.6,0.4,0.6,0.2,0.4,0.0,0.4,0.8,1.0,0.4,0.6,0.4,0.4,0.4,0.2,7,0,2,0,5,0
Adelaide United,Wellington Phoenix,0.4166666666666667,0.75,0,0,0,0,0.6,0.4,0.0,0.2,0.4,0.4,2.0,3.0,1.4,1.8,0.6,1.2,0.4,0.4,0.2,0.2,0.4,0.6,0.0,0.2,0.6,0.6,0.4,0.4,0.8,0.8,0.6,0.8,0.4,0.4,0.2,0.4,0.0,0.2,1.0,1.2,0.6,0.8,0.4,0.4,0.6,0.6,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,1.0,1.8,0.8,1.0,0.2,0.8,0.8,0.6,0.4,0.4,0.0,0.4,0.8,0.6,0.2,0.4,12.4,8.4,1.0,0.6,1.0,0.2,0.8,0.2,0.8,0.2,5.8,4.4,1.0,0.8,1.0,0.6,0.6,0.4,6.6,4.0,1.0,0.8,0.8,0.4,0.6,0.0,7.8,2.6,4.6,5.8,1.0,0.2,1.0,0.0,0.8,0.0,1.0,0.8,1.0,0.0,0.8,0.0,0.4,0.0,1.0,1.0,1.0,0.6,0.8,0.2,0.6,0.0,7,8,4,2,3,5
Leeds United,Tottenham Hotspur,0.55,0.3,3,1,2,1,0.2,0.4,0.2,0.2,0.6,0.4,1.2,2.8,0.6,1.6,0.6,1.2,0.4,0.4,0.6,0.0,0.2,0.6,0.0,0.6,0.4,0.6,0.2,0.6,0.6,1.0,0.4,0.8,0.2,0.6,0.0,0.4,0.0,0.0,0.8,1.8,0.2,1.2,0.6,0.6,0.4,0.4,0.8,0.0,0.2,0.6,0.6,1.0,0.2,0.6,0.4,1.0,0.4,0.4,0.0,0.6,1.0,0.4,0.6,0.6,0.0,0.2,0.4,0.8,0.0,0.2,12.6,9.2,1.0,0.8,0.8,0.8,0.8,0.4,0.8,0.2,5.2,3.2,1.0,0.6,0.8,0.6,0.6,0.4,7.4,6.0,1.0,1.0,1.0,1.0,0.6,0.4,6.4,3.6,6.2,5.6,0.8,0.2,0.8,0.2,0.6,0.2,1.0,0.4,0.6,0.2,0.4,0.2,0.0,0.0,1.0,1.0,0.8,0.8,0.6,0.6,0.6,0.2,8,6,6,2,2,4
Sheffield United,Crystal Palace,1.0,0.7,0,2,0,1,0.4,0.2,0.6,0.6,0.0,0.2,1.8,3.0,0.4,1.0,1.4,2.0,0.4,0.0,0.6,0.2,0.0,0.2,0.6,0.6,0.0,0.8,0.0,0.6,1.0,1.0,0.6,1.0,0.2,0.6,0.0,0.2,0.0,0.2,0.8,1.0,0.4,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.0,0.2,0.8,0.8,0.0,0.2,1.0,2.0,0.0,0.4,1.0,1.6,0.4,0.0,1.0,0.6,0.0,0.4,0.6,1.0,0.4,0.8,9.2,8.6,0.6,0.6,0.6,0.4,0.4,0.2,0.2,0.2,4.4,2.6,1.0,0.4,1.0,0.2,0.4,0.2,4.8,6.0,0.6,1.0,0.6,0.8,0.4,0.8,3.4,2.8,5.8,5.8,0.4,0.4,0.2,0.2,0.2,0.0,1.0,0.6,0.4,0.2,0.2,0.0,0.0,0.0,0.8,0.8,0.4,0.8,0.4,0.4,0.2,0.0,5,11,1,7,4,4
Manchester City,Chelsea,0.05,0.2,1,2,1,0,0.6,0.6,0.4,0.0,0.0,0.4,4.0,1.8,2.4,1.4,1.6,0.4,0.0,0.6,0.2,0.2,0.6,0.2,0.6,0.0,0.8,0.4,0.8,0.2,1.0,0.8,1.0,0.4,0.8,0.2,0.4,0.2,0.4,0.2,1.8,1.2,1.0,1.0,0.8,0.2,0.2,0.8,0.4,0.4,0.4,0.0,1.0,0.8,0.4,0.2,2.2,0.6,1.4,0.4,0.8,0.2,0.2,0.8,0.2,0.6,0.6,0.2,1.0,0.4,0.6,0.2,9.6,8.6,0.8,0.6,0.6,0.4,0.6,0.2,0.4,0.2,3.4,3.8,0.6,0.6,0.6,0.6,0.2,0.4,6.2,4.8,1.0,0.6,1.0,0.6,0.8,0.6,6.8,4.6,2.8,4.0,1.0,0.6,0.8,0.6,0.6,0.4,1.0,1.0,0.6,0.6,0.4,0.4,0.2,0.2,1.0,1.0,1.0,0.4,1.0,0.2,0.8,0.2,6,2,4,0,2,2
Liverpool,Southampton,0.35,0.8,2,0,1,0,0.2,0.2,0.6,0.8,0.2,0.0,1.8,3.2,0.6,1.0,1.2,2.2,0.0,0.2,0.6,0.4,0.2,0.4,0.2,0.6,0.4,0.4,0.2,0.4,1.0,1.0,0.6,0.8,0.2,0.6,0.0,0.2,0.0,0.2,1.0,1.8,0.2,0.6,0.8,1.2,0.2,0.4,0.8,0.4,0.0,0.2,1.0,1.0,0.0,0.4,0.8,1.4,0.4,0.4,0.4,1.0,0.6,0.4,0.8,0.6,0.0,0.2,0.6,0.8,0.2,0.4,9.0,11.8,0.6,1.0,0.6,1.0,0.2,1.0,0.2,0.4,3.6,5.2,0.8,1.0,0.6,0.8,0.2,0.4,5.4,6.6,0.6,0.8,0.6,0.8,0.4,0.8,6.8,6.6,2.2,5.2,1.0,0.8,1.0,0.8,0.8,0.4,0.6,1.0,0.6,0.8,0.4,0.8,0.4,0.2,1.0,0.8,1.0,0.8,1.0,0.4,0.6,0.4,8,4,4,3,4,1
Nantes,Bordeaux,0.9,0.75,3,0,1,0,0.0,0.2,0.6,0.8,0.4,0.0,2.6,4.0,1.0,1.2,1.6,2.8,0.0,0.0,0.0,0.2,0.0,0.2,0.6,0.8,1.0,0.8,0.6,0.8,1.0,1.0,1.0,1.0,0.6,0.8,0.0,0.8,0.0,0.4,1.6,2.2,0.6,0.8,1.0,1.4,0.4,0.2,0.4,0.4,0.4,0.4,0.8,1.0,0.6,0.8,1.0,1.8,0.4,0.4,0.6,1.4,0.4,0.0,0.6,0.6,0.2,0.4,0.8,1.0,0.2,0.8,9.0,11.2,0.8,1.0,0.8,1.0,0.2,0.8,0.2,0.8,4.6,5.2,0.8,1.0,0.6,0.8,0.6,0.6,4.4,6.0,0.8,1.0,0.4,1.0,0.4,0.2,5.0,5.6,4.0,5.6,0.6,0.8,0.6,0.8,0.4,0.8,1.0,0.8,0.6,0.4,0.4,0.2,0.4,0.0,1.0,1.0,0.4,1.0,0.4,1.0,0.2,0.6,5,2,4,1,1,1
Olympique Lyonnais,Lorient,0.2,0.85,4,1,0,0,0.4,0.0,0.6,0.6,0.0,0.4,3.6,3.0,1.8,1.0,1.8,2.0,0.4,0.0,0.0,0.2,0.6,0.2,0.6,0.4,0.6,0.8,0.6,0.4,1.0,1.0,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4,1.8,1.4,1.0,0.6,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.4,1.8,1.6,0.8,0.4,1.0,1.2,0.4,0.4,0.4,0.6,0.2,0.2,1.0,0.8,0.4,0.4,8.6,10.8,0.6,1.0,0.6,0.8,0.4,0.6,0.2,0.6,4.2,4.6,1.0,1.0,0.8,1.0,0.2,0.6,4.4,6.2,0.8,0.8,0.6,0.6,0.4,0.6,5.2,6.0,3.4,4.8,0.8,0.6,0.8,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.6,0.8,0.2,0.4,1.0,0.8,0.8,0.8,0.6,0.8,0.4,0.2,5,1,1,1,4,0
Borussia Dortmund,RB Leipzig,0.2777777777777778,0.1111111111111111,3,2,1,0,0.8,0.8,0.2,0.2,0.0,0.0,3.0,3.0,2.4,2.4,0.6,0.6,0.6,0.6,0.0,0.0,0.8,0.6,0.2,0.2,0.4,0.4,0.4,0.4,1.0,1.0,1.0,0.8,0.6,0.8,0.2,0.2,0.2,0.2,1.4,1.0,1.0,1.0,0.4,0.0,0.6,1.0,0.4,0.4,0.4,0.0,0.6,0.6,0.4,0.2,1.6,2.0,1.4,1.4,0.2,0.6,0.8,0.6,0.2,0.0,0.0,0.4,1.0,1.0,0.4,0.8,8.8,6.2,0.4,0.4,0.4,0.0,0.4,0.0,0.4,0.0,4.0,1.8,0.8,0.2,0.4,0.2,0.4,0.0,4.8,4.2,1.0,0.6,0.6,0.4,0.2,0.4,6.6,4.8,2.2,1.4,1.0,0.6,0.8,0.4,0.6,0.4,1.0,0.6,0.8,0.4,0.6,0.2,0.4,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.4,0.6,7,7,5,3,2,4
